facility_id,name,mineral_type,category,latitude,longitude,state,district,lease_area_ha,owner,ownership_type,mining_method,mineral_class,source,location_precision
30KAR07032,KUDUREKANVEKAVAL IRON ORE MINES,Iron Ore,mining,13.665026299365815,76.49303101558942,KARNATAKA,Chitradurga,20.8617066553,"M/s GARUDADHRI IMPLEX PVT LTD,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR05012,Naganapur,Limestone,mining,16.17631038625513,75.35216199938299,KARNATAKA,Bagalkot,1.65242365316,Malaprabha Mining Industries (P) LTD,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03168,VENKATAGIRI IRON ORE MINES ML 2551,Iron Ore,mining,15.193137475161718,76.41120995023238,KARNATAKA,Bellary,21.6686246392,"KR. KAVIRAJ,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26014,Timmapur,Limestone,mining,16.208014520351153,75.31665270826339,KARNATAKA,Bagalkot,15.1074494213,Pawanputra Minerals(PH.Pujar),Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26041,Hoskatta,Limestone,mining,16.128978351354945,75.2933828969025,KARNATAKA,Bagalkot,89.2921914698,Basappa Pandapp Naik,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03055,ZEENATH ML-2120,Iron Ore,mining,15.145591458412408,76.45331412691635,KARNATAKA,Bellary,37.8847716835,M/s ZEENATH TRANSPORT,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR05016,Petlur,Limestone,mining,16.231183385759316,75.32470755289032,KARNATAKA,Bagalkot,8.2620815025,Gururaj Krishnacharya Katti(U/T to JKCW),Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR02010,Yadwad,Limestone,mining,16.204134260794834,75.1930043679243,KARNATAKA,Belgaum,16.3171660858,BG.K.Sangh,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR02024,Yadwad,Limestone,mining,16.205161363001103,75.17745806482905,KARNATAKA,Belgaum,5.42098473526,Lakshmi Minerals,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26064,Yendigere,Limestone,mining,16.137684554575237,75.45130869955022,KARNATAKA,Bagalkot,3.18334226446,SESHA SAI MINERAL ENTERPRISES,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR05021,Hebbal & Kannagere,Limestone,mining,16.187234411033725,75.33219705212056,KARNATAKA,Bagalkot,14.3323160409,Murugaiah Mallaiah Virakthmat,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR05023,HEBBAL,Limestone,mining,16.190397858730023,75.34293288641192,KARNATAKA,Bagalkot,89.8725468936,SHRI SM. MODI,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR07010,ITTIGEHALLI(2260/ 1667),Limestone,mining,13.818583772435304,76.48084936071008,KARNATAKA,Chitradurga,243.957538425,"M/s  LAKSHMI CEMENT &CERAMICS INDUSTRIES LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR07014,TAREKERE(1690)/2381,Limestone,mining,13.785957013276791,76.43849317536623,KARNATAKA,Chitradurga,90.8407132593,"M/s The RAMCO Cements LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR07015,MKS  ML 1882,Limestone,mining,13.798183420494095,76.41685297186102,KARNATAKA,Chitradurga,403.036586341,"M/s The RAMCO Cements LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR07017,DB.KERE,Limestone,mining,13.678470703822619,76.5188210107448,KARNATAKA,Chitradurga,41.7394332279,"M/s The RAMCO Cements LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR07020,Kanchipura 1863,Limestone,mining,13.714990760880706,76.45918512063648,KARNATAKA,Chitradurga,55.3209137909,"M/s  The RAMCO Cements LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
27KAR16001,HUTTI,Gold ore,mining,16.195704590588146,76.65220402866389,KARNATAKA,Raichur,535.194958109,M/s Hutti Gold Mines Company Ltd,SPSU,Underground,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR07026,KK.KAVAL(BUKKASAGAR) ML 2284,Limestone,mining,13.704025081057079,76.44527583760377,KARNATAKA,Chitradurga,9.0556315722,"M/s The RAMCO Cements LTD,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR10013,CHITTAPUR LST MINE,Limestone,mining,17.079674013332532,77.03366078842538,KARNATAKA,Gulbarga,925.885901629,M/s Lafarge India Private Ltd.,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
