name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Bhatadi Coal Mine,mining,Subbituminous,20.05738,79.267357,Operating,1.5,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhatadi_Mine
Bhatgaon Coal Mine,mining,Subbituminous,23.37063,82.99223,Operating,1.5,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhatgaon_coal_mine
Bhavnagar Lignite Mine,mining,Lignite,21.67208367,72.23652471,Operating,2.2,Gujarat Mineral Development Corporation Limited [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhavnagar_Lignite_Mine
Bhubaneswari Coal Mine,mining,Lignite,20.961693,85.160099,Operating,30.0,Mahanadi Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhubaneswari_coal_mine
Bhurkunda Coal Mine,mining,Subbituminous,23.657086,85.365226,Operating,1.75,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bhurkunda_coal_mines
Bijari Coal Mine,mining,Subbituminous,22.2471,83.382797,Operating,2.25,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bijari_coal_mine
Bijuri Coal Mine,mining,Subbituminous,23.259109,82.122784,Operating,0.48,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bijuri_coal_mine
Bina Coal Mine,mining,Lignite,24.1483,82.7476,Operating,6.0,Northern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bina_coal_mine
Block II (BOCP) Coal Mine,mining,Bituminous,23.783333,86.2,Operating,5.8,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Block_II_mines
Block-B Coal Mine,mining,Lignite,24.17502419,82.56028175,Operating,8.0,Northern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Block_B_coal_mine
Bokaro Opencast Coal Mine,mining,Subbituminous,23.787063,85.923633,Operating,0.6,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Bokaro_Opencast_coal_mine
Bonjemehari Coal Mine,mining,Subbituminous,23.769704,86.877669,Operating,1.47,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Bonjemehari_coal_mine
Brahmadiha Coal Mine,mining,Bituminous,24.13618,86.319914,Operating,0.75,Andhra Pradesh Mineral Development Corp [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Brahmadiha_Coal_Mine
Central Kajora Coal Mine,mining,Subbituminous,23.600612,87.187419,Operating,0.25,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Central_Kajora_coal_mine
Chandragupta Coal Mine,mining,Lignite,23.9,85.03333,Operating,15.0,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Chandragupta_coal_mine
Chapapur II Coal Mine,mining,Subbituminous,23.804826,86.675476,Operating,0.68,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chapapur_II_mine
Chapuikhas Colliery,mining,Subbituminous,23.6545,87.0449,Operating,0.06,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Chapuikhas_Colliery
Chatti-Bariatu Coal Mine,mining,Subbituminous,24.0,85.36,Operating,7.0,NTPC Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Chatti-Bariatu_coal_mine
Chhal Coal Mine,mining,Subbituminous,22.100202,83.110483,Operating,7.0,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chhal_OC_coal_mine
Chhatarpur-I Coal Mine,mining,Subbituminous,22.15,78.1,Operating,0.334,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chhatarpur-I_Coal_Mine
Chhinda Coal Mine,mining,Subbituminous,22.213831,78.843954,Operating,0.6,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chhinda_coal_mine
Chinakuri III Coal Mine,mining,Subbituminous,23.6853,86.8596,Operating,0.2,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chinakuri_III_coal_mine
Chirimiri Coal Mine,mining,Subbituminous,23.183958,82.336684,Operating,1.65,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chirimiri_coal_mines
Chitra East Coal Mine,mining,Subbituminous,24.11728746,86.8639348448008,Operating,2.48,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chitra_coal_mine
"Chora 7,9&10 Coal Mine",mining,Subbituminous,23.1917713,86.5147689,Operating,0.21,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,"https://www.gem.wiki/Chora_7,9%2610_Coal_Mine"
Chora UG Coal Mine,mining,Subbituminous,23.672877,87.203167,Operating,0.1,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,"https://www.gem.wiki/Chora_Incline_and_Chora_7,_9,_%26_10_Coal_Mine"
Chotia Coal Mine,mining,Subbituminous,22.780896,82.476655,Operating,1.4,Bharat Aluminium Company Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Chotia_OC_coal_mine
Churcha RO Coal Mine,mining,Subbituminous,23.335952,82.519611,Operating,2.1,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Churcha_coal_mine
