name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
GSPL Dindadahalli Mine,mining,iron_ore,14.199626,76.229679,operating,21,Goa Sponge & Power Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/GSPL_Dindadahalli_Mine
Gutupalli Mining Company Gutupalli Mine,mining,iron_ore,15.441722,78.033291,operating,13.5,Gutupalli Mining Company [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Gutupalli_Mining_Company_Gutupalli_Mine
HG Rangangoud Thimmappanagudi Mine,mining,iron_ore,15.148811,76.536508,operating,114,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/HG_Rangangoud_Thimmappanagudi_Mine
HIPL Janikunta Mine,mining,iron_ore,15.113703,76.783844,operating,310,Hothur Ispat Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/HIPL_Janikunta_Mine
HN Premkumar Kallahalli Mine,mining,iron_ore,15.223525,76.423829,operating,118,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/HN_Premkumar_Kallahalli_Mine
HR Gaviappa Navalutti Mine,mining,iron_ore,15.031591,76.636927,operating,105,HR Gaviappa & Co [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/HR_Gaviappa_Navalutti_Mine
IBC Gaganapalli Mine,mining,iron_ore,14.413547,78.708353,operating,110,Indian Barytes & Chemicals Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/IBC_Gaganapalli_Mine
Indrani Patnaik Unchabali Mine,mining,iron_ore,21.872145,85.424455,operating,4000,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Indrani_Patnaik_Unchabali_Mine
Jayaswal Neco Chhotedongar Mine,mining,iron_ore,19.439193,81.289811,operating,2950,Jayaswal Neco Industries Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Jayaswal_Neco_Chhotedongar_Mine
Jayaswal Neco Metabodeli Mine,mining,iron_ore,20.044037,80.979994,operating,1000,Jayaswal Neco Industries Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Jayaswal_Neco_Metabodeli_Mine
