name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Rashmi Metaliks Kharagpur steel plant,iron_steel,iron_steel,22.360664,87.295932,operating,498,Rashmi Metaliks Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Rashmi_Metaliks_Kharagpur_steel_plant
RINL Vizag Steel plant,iron_steel,iron_steel,17.612846,83.191918,operating,7300,Rashtriya Ispat Nigam Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/RINL_Vizag_Steel_plant
Rungta Mines Chaliyama steel plant,iron_steel,iron_steel,22.588359,85.905724,operating,696,Rungta Mines Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Rungta_Mines_Chaliyama_steel_plant
Rungta Mines Dhenkanal steel plant,iron_steel,iron_steel,20.764524,85.299318,operating,206,Rungta Mines Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Rungta_Mines_Dhenkanal_steel_plant
Rungta Mines Kamanda steel plant,iron_steel,iron_steel,21.928511,85.223988,operating,347,Rungta Mines Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Rungta_Mines_Kamanda_steel_plant
Rungta Mines Karakhendra steel plant,iron_steel,iron_steel,22.140174,85.414616,operating,126,Rungta Mines Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Rungta_Mines_Karakhendra_steel_plant
Rungta Mines Karakolha sponge iron plant,iron_steel,iron_steel,22.13237,85.417031,operating,,Rungta Mines Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Rungta_Mines_Karakolha_sponge_iron_plant
SAIL Alloy steel plant,iron_steel,iron_steel,23.522882,87.275935,operating,501,Steel Authority of India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/SAIL_Alloy_steel_plant
SAIL Bhilai steel plant,iron_steel,iron_steel,21.185157,81.394207,operating,6999,Steel Authority of India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/SAIL_Bhilai_steel_plant
SAIL Bokaro steel plant,iron_steel,iron_steel,23.671677,86.10687,operating,4652,Steel Authority of India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/SAIL_Bokaro_steel_plant
SAIL Durgapur steel plant,iron_steel,iron_steel,23.54843,87.245247,operating,2499,Steel Authority of India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/SAIL_Durgapur_steel_plant
